Vardas              Pavardė       Galutinis (Vid.)    
-------------------------------------------------------------
Vardas709           Pavardė709     5.00
Vardas578           Pavardė578     5.00
Vardas299           Pavardė299     5.00
Vardas893           Pavardė893     5.01
Vardas878           Pavardė878     5.03
Vardas565           Pavardė565     5.03
Vardas174           Pavardė174     5.03
Vardas985           Pavardė985     5.03
Vardas741           Pavardė741     5.03
Vardas78            Pavardė78      5.03
Vardas238           Pavardė238     5.04
Vardas93            Pavardė93      5.04
Vardas590           Pavardė590     5.04
Vardas227           Pavardė227     5.05
Vardas719           Pavardė719     5.05
Vardas83            Pavardė83      5.05
Vardas279           Pavardė279     5.07
Vardas67            Pavardė67      5.08
Vardas107           Pavardė107     5.08
Vardas445           Pavardė445     5.08
Vardas265           Pavardė265     5.08
Vardas759           Pavardė759     5.08
Vardas777           Pavardė777     5.11
Vardas960           Pavardė960     5.11
Vardas475           Pavardė475     5.11
Vardas736           Pavardė736     5.11
Vardas214           Pavardė214     5.12
Vardas591           Pavardė591     5.12
Vardas125           Pavardė125     5.13
Vardas316           Pavardė316     5.13
Vardas251           Pavardė251     5.13
Vardas665           Pavardė665     5.16
Vardas103           Pavardė103     5.16
Vardas857           Pavardė857     5.16
Vardas447           Pavardė447     5.19
Vardas85            Pavardė85      5.19
Vardas655           Pavardė655     5.21
Vardas366           Pavardė366     5.21
Vardas506           Pavardė506     5.21
Vardas470           Pavardė470     5.21
Vardas820           Pavardė820     5.23
Vardas568           Pavardė568     5.25
Vardas30            Pavardė30      5.27
Vardas885           Pavardė885     5.27
Vardas499           Pavardė499     5.29
Vardas153           Pavardė153     5.29
Vardas705           Pavardė705     5.29
Vardas788           Pavardė788     5.29
Vardas670           Pavardė670     5.29
Vardas301           Pavardė301     5.29
Vardas132           Pavardė132     5.31
Vardas771           Pavardė771     5.31
Vardas708           Pavardė708     5.32
Vardas261           Pavardė261     5.32
Vardas458           Pavardė458     5.32
Vardas982           Pavardė982     5.32
Vardas566           Pavardė566     5.32
Vardas141           Pavardė141     5.32
Vardas617           Pavardė617     5.35
Vardas228           Pavardė228     5.36
Vardas834           Pavardė834     5.36
Vardas131           Pavardė131     5.37
Vardas304           Pavardė304     5.37
Vardas48            Pavardė48      5.37
Vardas502           Pavardė502     5.40
Vardas182           Pavardė182     5.40
Vardas884           Pavardė884     5.40
Vardas269           Pavardė269     5.41
Vardas13            Pavardė13      5.41
Vardas700           Pavardė700     5.41
Vardas936           Pavardė936     5.43
Vardas598           Pavardė598     5.43
Vardas790           Pavardė790     5.44
Vardas138           Pavardė138     5.45
Vardas716           Pavardė716     5.45
Vardas63            Pavardė63      5.45
Vardas343           Pavardė343     5.45
Vardas730           Pavardė730     5.45
Vardas115           Pavardė115     5.45
Vardas738           Pavardė738     5.48
Vardas434           Pavardė434     5.48
Vardas631           Pavardė631     5.49
Vardas464           Pavardė464     5.49
Vardas511           Pavardė511     5.49
Vardas831           Pavardė831     5.52
Vardas272           Pavardė272     5.53
Vardas739           Pavardė739     5.55
Vardas122           Pavardė122     5.56
Vardas401           Pavardė401     5.56
Vardas427           Pavardė427     5.56
Vardas243           Pavardė243     5.57
Vardas953           Pavardė953     5.59
Vardas907           Pavardė907     5.60
Vardas390           Pavardė390     5.60
Vardas17            Pavardė17      5.61
Vardas828           Pavardė828     5.61
Vardas278           Pavardė278     5.63
Vardas691           Pavardė691     5.63
Vardas919           Pavardė919     5.63
Vardas80            Pavardė80      5.63
Vardas805           Pavardė805     5.64
Vardas677           Pavardė677     5.65
Vardas69            Pavardė69      5.67
Vardas951           Pavardė951     5.69
Vardas949           Pavardė949     5.69
Vardas352           Pavardė352     5.69
Vardas915           Pavardė915     5.69
Vardas96            Pavardė96      5.71
Vardas647           Pavardė647     5.71
Vardas774           Pavardė774     5.73
Vardas286           Pavardė286     5.73
Vardas868           Pavardė868     5.73
Vardas341           Pavardė341     5.73
Vardas633           Pavardė633     5.73
Vardas573           Pavardė573     5.75
Vardas41            Pavardė41      5.76
Vardas254           Pavardė254     5.76
Vardas539           Pavardė539     5.76
Vardas307           Pavardė307     5.76
Vardas764           Pavardė764     5.76
Vardas601           Pavardė601     5.76
Vardas245           Pavardė245     5.79
Vardas456           Pavardė456     5.79
Vardas899           Pavardė899     5.79
Vardas139           Pavardė139     5.80
Vardas547           Pavardė547     5.81
Vardas241           Pavardė241     5.81
Vardas49            Pavardė49      5.83
Vardas937           Pavardė937     5.83
Vardas284           Pavardė284     5.84
Vardas914           Pavardė914     5.84
Vardas149           Pavardė149     5.84
Vardas486           Pavardė486     5.84
Vardas626           Pavardė626     5.85
Vardas354           Pavardė354     5.87
Vardas117           Pavardė117     5.87
Vardas913           Pavardė913     5.88
Vardas453           Pavardė453     5.89
Vardas416           Pavardė416     5.89
Vardas541           Pavardė541     5.89
Vardas410           Pavardė410     5.89
Vardas792           Pavardė792     5.89
Vardas468           Pavardė468     5.91
Vardas344           Pavardė344     5.91
Vardas111           Pavardė111     5.92
Vardas472           Pavardė472     5.92
Vardas210           Pavardė210     5.92
Vardas467           Pavardė467     5.92
Vardas844           Pavardė844     5.92
Vardas518           Pavardė518     5.92
Vardas155           Pavardė155     5.92
Vardas877           Pavardė877     5.95
Vardas958           Pavardė958     5.95
Vardas215           Pavardė215     5.96
Vardas471           Pavardė471     5.96
Vardas501           Pavardė501     5.96
Vardas400           Pavardė400     5.99
Vardas32            Pavardė32      6.00
Vardas424           Pavardė424     6.00
Vardas579           Pavardė579     6.00
Vardas840           Pavardė840     6.01
Vardas984           Pavardė984     6.03
Vardas29            Pavardė29      6.04
Vardas903           Pavardė903     6.04
Vardas555           Pavardė555     6.04
Vardas802           Pavardė802     6.04
Vardas643           Pavardė643     6.05
Vardas491           Pavardė491     6.05
Vardas748           Pavardė748     6.05
Vardas201           Pavardė201     6.07
Vardas277           Pavardė277     6.07
Vardas492           Pavardė492     6.07
Vardas130           Pavardė130     6.08
Vardas27            Pavardė27      6.09
Vardas778           Pavardė778     6.09
Vardas260           Pavardė260     6.09
Vardas755           Pavardė755     6.09
