Vardas              Pavardė            ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas1             Pavardė1           1      9      4      2      10     6      1      4      10     8      1      7      2      1      8      1
Vardas2             Pavardė2           5      6      8      4      10     4      8      8      5      5      6      6      10     4      6      5
Vardas3             Pavardė3           4      5      9      7      8      6      1      1      2      6      3      10     3      2      9      5
Vardas4             Pavardė4           2      2      8      3      7      3      7      8      2      6      3      5      5      8      3      1
Vardas5             Pavardė5           1      5      1      4      6      5      6      5      1      9      4      4      9      5      9      1
Vardas6             Pavardė6           3      4      5      3      2      7      1      2      4      5      1      5      3      6      4      1
Vardas7             Pavardė7           3      4      4      4      10     10     3      3      6      2      2      3      2      1      10     7
Vardas8             Pavardė8           2      9      9      6      3      2      9      4      7      4      7      1      5      5      2      10
Vardas9             Pavardė9           5      9      6      9      4      1      2      9      9      2      6      1      3      4      5      2
Vardas10            Pavardė10          6      3      5      3      3      9      2      5      6      1      6      10     9      5      6      6
Vardas11            Pavardė11          2      1      2      9      7      5      6      10     3      10     9      8      8      1      9      4
Vardas12            Pavardė12          7      9      10     9      2      10     8      1      4      8      6      1      2      3      9      10
Vardas13            Pavardė13          3      10     6      1      6      3      3      3      10     1      7      9      1      6      7      7
Vardas14            Pavardė14          7      6      4      5      4      9      3      9      8      2      6      7      9      1      4      6
Vardas15            Pavardė15          1      10     8      6      9      10     5      7      2      5      3      6      10     4      8      4
Vardas16            Pavardė16          9      8      5      4      9      4      8      3      1      6      1      2      10     3      1      10
Vardas17            Pavardė17          4      6      1      5      10     8      7      10     1      6      4      7      1      4      9      6
Vardas18            Pavardė18          4      10     1      5      1      1      8      5      6      6      3      7      7      9      4      10
Vardas19            Pavardė19          6      5      6      2      5      9      9      7      5      9      10     4      7      2      5      10
Vardas20            Pavardė20          8      4      3      1      8      3      8      2      3      7      7      8      3      10     6      4
Vardas21            Pavardė21          10     9      4      2      6      9      5      5      8      10     5      3      4      8      3      7
Vardas22            Pavardė22          10     7      6      1      10     2      1      9      4      3      10     5      5      3      3      10
Vardas23            Pavardė23          2      10     1      6      7      6      3      2      10     6      4      9      6      7      3      9
Vardas24            Pavardė24          2      5      3      5      8      3      6      5      2      9      10     8      3      7      8      1
Vardas25            Pavardė25          3      8      2      10     2      2      2      9      2      2      5      5      9      10     3      4
Vardas26            Pavardė26          10     4      7      9      4      6      1      9      4      2      10     8      3      4      7      7
Vardas27            Pavardė27          9      10     6      2      1      7      7      1      2      1      7      7      1      6      7      7
Vardas28            Pavardė28          7      4      7      8      5      6      5      2      6      9      5      8      1      9      9      6
Vardas29            Pavardė29          6      2      6      5      6      8      10     8      9      8      2      8      1      2      3      9
Vardas30            Pavardė30          8      7      6      3      2      6      7      4      2      1      10     9      8      1      8      10
Vardas31            Pavardė31          1      10     3      10     6      2      9      8      6      9      2      6      5      2      10     10
Vardas32            Pavardė32          9      10     9      4      5      5      5      5      6      8      10     7      5      2      4      2
Vardas33            Pavardė33          2      2      5      7      3      5      3      2      3      2      5      5      4      10     7      10
Vardas34            Pavardė34          7      1      7      2      6      8      5      8      7      5      4      8      9      5      7      6
Vardas35            Pavardė35          7      8      5      4      9      1      9      5      10     3      8      7      4      10     1      2
Vardas36            Pavardė36          10     4      8      3      8      4      5      5      4      2      10     10     7      1      7      1
Vardas37            Pavardė37          8      9      10     9      6      6      6      4      10     5      9      3      9      8      2      9
Vardas38            Pavardė38          2      6      3      9      7      5      7      3      6      6      8      10     1      2      10     3
Vardas39            Pavardė39          8      3      7      10     10     8      3      5      7      7      2      3      6      9      8      9
Vardas40            Pavardė40          10     7      4      3      10     3      6      10     1      1      10     6      7      3      1      2
Vardas41            Pavardė41          5      7      5      5      10     5      10     4      2      1      9      9      3      9      3      10
Vardas42            Pavardė42          5      2      9      9      9      9      10     7      2      2      10     4      8      4      9      1
Vardas43            Pavardė43          2      9      4      4      1      5      4      8      6      7      6      9      9      6      6      10
Vardas44            Pavardė44          8      9      4      7      2      9      6      3      7      6      2      5      9      8      6      2
Vardas45            Pavardė45          1      5      5      1      4      7      3      3      6      3      4      6      7      2      9      4
Vardas46            Pavardė46          4      7      4      10     5      8      4      6      8      3      7      2      7      1      3      1
Vardas47            Pavardė47          9      8      4      9      1      9      8      2      9      3      3      2      2      6      6      7
Vardas48            Pavardė48          9      8      9      7      7      6      5      1      3      3      9      3      4      10     8      7
Vardas49            Pavardė49          10     4      9      9      1      2      4      5      1      7      1      1      10     6      4      4
Vardas50            Pavardė50          9      6      6      2      6      10     8      5      7      4      2      4      3      1      8      10
Vardas51            Pavardė51          5      10     3      7      1      5      8      1      8      7      2      9      9      7      9      2
Vardas52            Pavardė52          8      7      4      10     8      3      5      10     8      7      10     5      6      4      5      1
Vardas53            Pavardė53          10     9      8      6      10     3      7      1      7      3      2      4      6      8      8      3
Vardas54            Pavardė54          10     7      10     3      5      4      9      6      2      8      5      8      9      5      2      5
Vardas55            Pavardė55          3      3      4      9      1      8      9      8      5      1      3      4      7      2      9      10
Vardas56            Pavardė56          1      4      8      9      7      9      5      2      6      1      9      10     1      9      3      7
Vardas57            Pavardė57          10     5      7      2      10     7      9      3      10     3      5      9      2      2      3      5
Vardas58            Pavardė58          10     6      4      3      4      3      10     3      4      9      4      4      6      3      5      10
Vardas59            Pavardė59          9      5      7      6      10     8      7      8      3      10     8      3      10     2      6      7
Vardas60            Pavardė60          9      9      6      10     7      7      3      3      10     6      10     1      2      1      3      10
Vardas61            Pavardė61          9      4      5      10     2      8      1      2      5      6      2      6      9      2      7      9
Vardas62            Pavardė62          8      6      3      5      4      10     8      6      1      4      8      5      10     1      6      2
Vardas63            Pavardė63          10     5      6      6      2      1      5      6      2      10     1      10     8      6      5      3
Vardas64            Pavardė64          4      8      4      7      9      6      1      3      10     6      3      2      1      8      9      7
Vardas65            Pavardė65          4      6      7      5      7      1      3      7      6      2      8      3      5      3      2      6
Vardas66            Pavardė66          3      8      10     1      1      3      6      8      1      2      10     7      10     7      2      6
Vardas67            Pavardė67          3      10     9      1      10     2      1      10     3      4      10     2      5      4      10     1
Vardas68            Pavardė68          1      8      10     2      6      3      8      2      1      1      1      2      2      10     6      6
Vardas69            Pavardė69          3      2      6      10     2      7      1      6      5      1      8      5      2      4      4      8
Vardas70            Pavardė70          10     10     10     10     6      8      1      5      5      8      6      10     10     1      2      1
Vardas71            Pavardė71          2      8      9      4      7      6      4      7      5      9      6      8      8      8      1      9
Vardas72            Pavardė72          5      10     1      7      3      2      2      4      3      4      9      3      4      10     8      6
Vardas73            Pavardė73          6      9      3      8      8      9      3      4      6      8      10     6      8      7      2      9
Vardas74            Pavardė74          9      3      3      9      4      3      10     1      2      8      7      10     5      6      3      6
Vardas75            Pavardė75          6      2      2      4      10     8      7      8      9      5      2      7      6      6      10     3
Vardas76            Pavardė76          5      9      5      3      8      10     1      4      10     3      8      8      6      6      3      10
Vardas77            Pavardė77          7      2      9      6      10     9      8      7      2      5      9      3      2      3      4      8
Vardas78            Pavardė78          3      5      6      6      7      2      4      2      6      2      4      9      6      2      4      6
Vardas79            Pavardė79          6      7      7      8      1      10     4      7      10     3      1      8      7      2      6      4
Vardas80            Pavardė80          5      2      3      6      1      7      2      4      10     3      8      1      8      6      3      3
Vardas81            Pavardė81          7      4      6      4      8      7      10     8      6      10     2      9      9      10     2      3
Vardas82            Pavardė82          2      1      10     6      3      5      1      1      9      7      6      8      4      9      9      6
Vardas83            Pavardė83          2      10     8      8      2      8      2      5      6      10     3      4      9      9      9      8
Vardas84            Pavardė84          1      8      5      7      2      6      9      2      5      2      8      1      6      7      5      9
Vardas85            Pavardė85          5      9      2      10     1      10     5      3      1      9      9      8      6      1      8      4
Vardas86            Pavardė86          5      4      5      7      6      2      3      3      4      6      5      2      1      7      3      3
Vardas87            Pavardė87          8      3      7      4      2      2      2      5      3      10     5      2      7      9      4      2
Vardas88            Pavardė88          2      4      10     4      9      4      8      5      9      4      7      6      3      4      7      7
Vardas89            Pavardė89          8      4      5      1      9      1      8      1      3      5      7      9      7      4      3      1
Vardas90            Pavardė90          5      2      3      3      7      8      9      4      3      7      2      2      5      2      6      4
Vardas91            Pavardė91          2      6      6      1      6      7      1      1      1      8      3      4      10     3      8      7
Vardas92            Pavardė92          10     7      4      5      6      10     2      4      5      4      4      3      7      3      7      10
Vardas93            Pavardė93          6      2      4      3      10     9      2      7      7      2      1      8      3      8      9      9
Vardas94            Pavardė94          8      1      6      3      2      8      2      10     6      8      10     6      2      3      5      3
Vardas95            Pavardė95          10     6      9      5      10     6      9      3      4      5      9      7      6      1      3      4
Vardas96            Pavardė96          8      5      4      7      10     2      4      7      2      10     10     1      10     3      8      10
Vardas97            Pavardė97          9      5      10     3      2      8      9      7      4      7      2      9      8      6      3      6
Vardas98            Pavardė98          5      10     3      1      8      10     9      8      1      2      10     8      9      5      7      5
Vardas99            Pavardė99          5      1      10     8      10     6      1      4      7      1      6      5      6      9      10     8
Vardas100           Pavardė100         9      3      8      9      7      5      2      3      2      8      1      5      5      9      3      6
Vardas101           Pavardė101         9      1      5      6      10     1      3      2      3      3      10     5      1      3      5      7
Vardas102           Pavardė102         8      5      5      1      2      1      2      8      7      5      7      5      4      4      5      7
Vardas103           Pavardė103         10     5      2      2      7      5      6      7      4      5      1      3      2      10     3      9
Vardas104           Pavardė104         9      7      9      6      6      8      1      4      5      9      4      7      5      2      2      2
Vardas105           Pavardė105         1      6      3      4      9      7      9      9      3      1      9      1      2      5      6      6
Vardas106           Pavardė106         3      1      10     2      1      3      2      8      8      7      1      5      1      5      4      7
Vardas107           Pavardė107         6      7      10     8      1      9      10     2      4      2      4      10     3      3      4      2
Vardas108           Pavardė108         7      6      9      8      10     2      1      9      2      5      4      4      8      9      6      3
Vardas109           Pavardė109         3      7      9      9      7      2      10     9      1      3      5      8      10     9      7      9
Vardas110           Pavardė110         10     5      3      7      9      10     5      10     10     3      4      2      1      3      1      7
Vardas111           Pavardė111         4      4      2      4      6      1      2      6      2      8      9      1      3      2      2      1
Vardas112           Pavardė112         4      8      9      3      3      6      10     5      4      6      5      7      3      6      5      5
Vardas113           Pavardė113         1      8      1      4      5      1      1      6      10     3      1      10     3      7      10     2
Vardas114           Pavardė114         5      4      7      3      5      4      5      3      1      10     4      9      4      9      2      7
Vardas115           Pavardė115         10     9      1      3      7      3      4      9      6      3      6      2      10     7      9      3
Vardas116           Pavardė116         1      10     2      3      9      4      6      6      5      4      8      8      10     7      5      9
Vardas117           Pavardė117         1      3      5      1      1      7      6      6      5      10     5      3      1      1      9      9
Vardas118           Pavardė118         9      5      8      1      9      2      7      4      2      3      2      9      3      4      10     4
Vardas119           Pavardė119         8      6      6      5      3      8      3      9      10     8      9      7      8      8      8      5
Vardas120           Pavardė120         1      7      9      4      6      3      8      8      10     3      3      2      10     6      3      6
Vardas121           Pavardė121         4      1      3      5      10     9      7      10     2      3      1      8      6      3      5      3
Vardas122           Pavardė122         5      4      2      10     10     2      8      6      8      5      3      1      10     5      4      1
Vardas123           Pavardė123         9      7      3      8      4      8      9      9      6      2      5      6      5      7      3      4
Vardas124           Pavardė124         1      3      2      8      8      7      6      4      7      10     4      10     10     7      10     5
Vardas125           Pavardė125         1      10     9      7      2      1      5      4      10     5      8      6      7      9      3      6
Vardas126           Pavardė126         7      3      9      5      9      10     7      5      6      9      7      8      2      5      6      7
Vardas127           Pavardė127         6      3      5      2      2      1      8      4      6      9      2      1      7      6      2      6
Vardas128           Pavardė128         7      4      6      8      7      10     5      9      9      3      1      4      5      3      2      3
Vardas129           Pavardė129         8      8      3      8      5      3      9      3      4      6      7      10     7      1      3      9
Vardas130           Pavardė130         2      2      5      1      8      10     1      2      10     6      5      5      2      7      3      3
Vardas131           Pavardė131         2      4      2      2      8      9      4      9      10     2      5      8      9      6      10     9
Vardas132           Pavardė132         7      8      9      8      4      3      10     8      6      4      6      3      5      1      10     2
Vardas133           Pavardė133         7      7      6      4      6      10     2      7      2      8      1      6      9      7      10     9
Vardas134           Pavardė134         10     7      6      6      10     2      6      4      9      1      8      10     8      8      10     6
Vardas135           Pavardė135         8      2      4      3      5      4      1      8      4      4      10     6      1      4      8      5
Vardas136           Pavardė136         6      8      4      2      2      2      3      7      8      10     2      3      6      4      9      1
Vardas137           Pavardė137         6      5      10     8      9      5      6      7      3      7      1      4      7      6      3      9
Vardas138           Pavardė138         8      6      2      10     1      6      3      8      5      4      7      3      6      5      3      10
Vardas139           Pavardė139         3      9      10     4      8      4      4      1      5      9      2      6      3      6      10     3
