Vardas              Pavardė       Galutinis (Vid.)    
-------------------------------------------------------------
Vardas816           Pavardė816     1.96
Vardas950           Pavardė950     1.99
Vardas409           Pavardė409     2.15
Vardas278           Pavardė278     2.20
Vardas102           Pavardė102     2.31
Vardas352           Pavardė352     2.33
Vardas151           Pavardė151     2.36
Vardas733           Pavardė733     2.37
Vardas262           Pavardė262     2.39
Vardas690           Pavardė690     2.41
Vardas944           Pavardė944     2.41
Vardas993           Pavardė993     2.41
Vardas145           Pavardė145     2.44
Vardas957           Pavardė957     2.47
Vardas750           Pavardė750     2.47
Vardas963           Pavardė963     2.47
Vardas221           Pavardė221     2.47
Vardas282           Pavardė282     2.49
Vardas765           Pavardė765     2.52
Vardas7             Pavardė7       2.52
Vardas303           Pavardė303     2.55
Vardas588           Pavardė588     2.55
Vardas97            Pavardė97      2.55
Vardas711           Pavardė711     2.55
Vardas11            Pavardė11      2.57
Vardas1000          Pavardė1000    2.57
Vardas883           Pavardė883     2.60
Vardas324           Pavardė324     2.60
Vardas78            Pavardė78      2.60
Vardas981           Pavardė981     2.60
Vardas129           Pavardė129     2.60
Vardas394           Pavardė394     2.60
Vardas533           Pavardė533     2.60
Vardas583           Pavardė583     2.63
Vardas158           Pavardė158     2.63
Vardas559           Pavardė559     2.63
Vardas312           Pavardė312     2.63
Vardas214           Pavardė214     2.65
Vardas6             Pavardė6       2.65
Vardas882           Pavardė882     2.68
Vardas994           Pavardė994     2.68
Vardas977           Pavardė977     2.68
Vardas871           Pavardė871     2.68
Vardas605           Pavardė605     2.71
Vardas16            Pavardė16      2.71
Vardas23            Pavardė23      2.71
Vardas260           Pavardė260     2.71
Vardas714           Pavardė714     2.71
Vardas574           Pavardė574     2.71
Vardas109           Pavardė109     2.71
Vardas825           Pavardė825     2.73
Vardas939           Pavardė939     2.73
Vardas50            Pavardė50      2.73
Vardas58            Pavardė58      2.79
Vardas744           Pavardė744     2.81
Vardas691           Pavardė691     2.81
Vardas89            Pavardė89      2.81
Vardas249           Pavardė249     2.81
Vardas105           Pavardė105     2.81
Vardas217           Pavardė217     2.81
Vardas122           Pavardė122     2.81
Vardas676           Pavardė676     2.83
Vardas465           Pavardė465     2.84
Vardas757           Pavardė757     2.84
Vardas175           Pavardė175     2.84
Vardas405           Pavardė405     2.87
Vardas764           Pavardė764     2.87
Vardas775           Pavardė775     2.89
Vardas755           Pavardė755     2.89
Vardas124           Pavardė124     2.89
Vardas416           Pavardė416     2.92
Vardas493           Pavardė493     2.92
Vardas723           Pavardė723     2.92
Vardas995           Pavardė995     2.92
Vardas817           Pavardė817     2.93
Vardas358           Pavardė358     2.93
Vardas769           Pavardė769     2.93
Vardas516           Pavardė516     2.93
Vardas787           Pavardė787     2.93
Vardas712           Pavardė712     2.95
Vardas897           Pavardė897     2.95
Vardas464           Pavardė464     2.95
Vardas248           Pavardė248     2.95
Vardas83            Pavardė83      2.95
Vardas617           Pavardė617     2.95
Vardas581           Pavardė581     2.96
Vardas364           Pavardė364     2.96
Vardas688           Pavardė688     2.97
Vardas941           Pavardė941     2.97
Vardas291           Pavardė291     2.97
Vardas515           Pavardė515     2.97
Vardas659           Pavardė659     2.99
Vardas271           Pavardė271     2.99
Vardas782           Pavardė782     3.00
Vardas397           Pavardė397     3.00
Vardas678           Pavardė678     3.00
Vardas946           Pavardė946     3.00
Vardas804           Pavardė804     3.03
Vardas519           Pavardė519     3.03
Vardas2             Pavardė2       3.03
Vardas491           Pavardė491     3.03
Vardas94            Pavardė94      3.04
Vardas706           Pavardė706     3.08
Vardas848           Pavardė848     3.08
Vardas833           Pavardė833     3.08
Vardas776           Pavardė776     3.08
Vardas809           Pavardė809     3.11
Vardas209           Pavardė209     3.12
Vardas162           Pavardė162     3.13
Vardas447           Pavardė447     3.13
Vardas306           Pavardė306     3.15
Vardas839           Pavardė839     3.15
Vardas527           Pavardė527     3.15
Vardas526           Pavardė526     3.15
Vardas569           Pavardė569     3.15
Vardas905           Pavardė905     3.15
Vardas771           Pavardė771     3.16
Vardas618           Pavardė618     3.16
Vardas257           Pavardė257     3.17
Vardas149           Pavardė149     3.19
Vardas77            Pavardė77      3.19
Vardas35            Pavardė35      3.20
Vardas959           Pavardė959     3.20
Vardas283           Pavardė283     3.20
Vardas619           Pavardė619     3.21
Vardas448           Pavardė448     3.23
Vardas422           Pavardė422     3.23
Vardas498           Pavardė498     3.23
Vardas740           Pavardė740     3.23
Vardas21            Pavardė21      3.24
Vardas620           Pavardė620     3.24
Vardas19            Pavardė19      3.24
Vardas967           Pavardė967     3.25
Vardas754           Pavardė754     3.27
Vardas748           Pavardė748     3.27
Vardas760           Pavardė760     3.27
Vardas331           Pavardė331     3.28
Vardas418           Pavardė418     3.28
Vardas701           Pavardė701     3.29
Vardas683           Pavardė683     3.29
Vardas5             Pavardė5       3.29
Vardas354           Pavardė354     3.31
Vardas376           Pavardė376     3.32
Vardas70            Pavardė70      3.32
Vardas318           Pavardė318     3.33
Vardas966           Pavardė966     3.33
Vardas798           Pavardė798     3.33
Vardas185           Pavardė185     3.33
Vardas472           Pavardė472     3.33
Vardas329           Pavardė329     3.33
Vardas215           Pavardė215     3.35
Vardas285           Pavardė285     3.36
Vardas72            Pavardė72      3.36
Vardas713           Pavardė713     3.37
Vardas698           Pavardė698     3.37
Vardas326           Pavardė326     3.39
Vardas301           Pavardė301     3.41
Vardas842           Pavardė842     3.41
Vardas389           Pavardė389     3.41
Vardas196           Pavardė196     3.41
Vardas803           Pavardė803     3.41
Vardas164           Pavardė164     3.44
Vardas33            Pavardė33      3.44
Vardas815           Pavardė815     3.44
Vardas490           Pavardė490     3.45
Vardas252           Pavardė252     3.45
Vardas951           Pavardė951     3.45
Vardas631           Pavardė631     3.47
Vardas937           Pavardė937     3.48
Vardas785           Pavardė785     3.48
Vardas746           Pavardė746     3.49
Vardas612           Pavardė612     3.49
Vardas400           Pavardė400     3.51
Vardas4             Pavardė4       3.52
Vardas956           Pavardė956     3.52
Vardas404           Pavardė404     3.53
Vardas607           Pavardė607     3.53
Vardas199           Pavardė199     3.55
Vardas532           Pavardė532     3.55
Vardas353           Pavardė353     3.55
Vardas46            Pavardė46      3.55
Vardas486           Pavardė486     3.56
Vardas724           Pavardė724     3.56
Vardas749           Pavardė749     3.57
Vardas662           Pavardė662     3.57
Vardas334           Pavardė334     3.57
Vardas592           Pavardė592     3.59
Vardas879           Pavardė879     3.59
Vardas320           Pavardė320     3.60
Vardas454           Pavardė454     3.60
Vardas551           Pavardė551     3.61
Vardas731           Pavardė731     3.63
Vardas392           Pavardė392     3.63
Vardas435           Pavardė435     3.63
Vardas450           Pavardė450     3.63
Vardas108           Pavardė108     3.63
Vardas76            Pavardė76      3.63
Vardas492           Pavardė492     3.65
Vardas263           Pavardė263     3.65
Vardas845           Pavardė845     3.65
Vardas307           Pavardė307     3.68
Vardas177           Pavardė177     3.68
Vardas141           Pavardė141     3.68
Vardas346           Pavardė346     3.68
Vardas219           Pavardė219     3.69
Vardas725           Pavardė725     3.69
Vardas856           Pavardė856     3.69
Vardas979           Pavardė979     3.69
Vardas935           Pavardė935     3.69
Vardas522           Pavardė522     3.71
Vardas841           Pavardė841     3.72
Vardas790           Pavardė790     3.73
Vardas649           Pavardė649     3.75
Vardas333           Pavardė333     3.75
Vardas874           Pavardė874     3.75
Vardas206           Pavardė206     3.76
Vardas453           Pavardė453     3.77
